Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
241,Providence,35,21,14,0.6,12.47,8.84,10,10,14,5,4,7,2534,2407,1415,891,2011,0.443,290,891,0.325,462,640,0.722,321,1257,477,225,161,424,552
242,Purdue NCAA,37,33,4,0.892,25.31,11.2,17,3,16,0,7,3,3088,2566,1495,1063,2163,0.491,307,756,0.406,655,913,0.717,456,1508,699,204,137,417,513
243,Purdue Fort Wayne,36,23,13,0.639,-0.73,-6.08,11,9,11,5,10,8,2886,2577,1450,1043,2231,0.468,340,942,0.361,460,654,0.703,302,1173,490,332,111,375,612
244,Queens (NC),33,14,19,0.424,-8.73,-3.47,7,9,11,3,2,16,2643,2693,1320,928,2095,0.443,294,864,0.34,493,694,0.71,372,1220,435,230,91,377,573
245,Quinnipiac,34,24,10,0.706,-3.08,-7.32,15,5,13,3,10,5,2630,2422,1365,938,2089,0.449,254,723,0.351,500,645,0.775,369,1256,479,260,125,423,552
246,Radford,33,16,17,0.485,-5.64,-3.45,5,11,8,5,4,12,2377,2361,1335,871,1907,0.457,238,655,0.363,397,537,0.739,339,1143,366,183,116,357,561
247,Rhode Island,32,12,20,0.375,-2.26,2.87,6,12,9,8,3,8,2322,2443,1280,826,1800,0.459,209,599,0.349,461,713,0.647,332,1178,408,151,99,403,541
248,Rice,32,11,21,0.344,-3.2,1.99,5,13,6,10,5,7,2304,2421,1295,833,1880,0.443,251,744,0.337,387,557,0.695,330,1134,461,178,117,372,463
249,Richmond,33,23,10,0.697,7.68,2.1,15,3,15,1,7,6,2372,2188,1325,874,1889,0.463,242,668,0.362,382,522,0.732,188,1081,436,220,97,285,468
250,Rider,32,15,17,0.469,-5.73,-4.28,12,8,9,4,6,12,2309,2308,1295,836,1921,0.435,182,540,0.337,455,608,0.748,362,1202,427,210,124,398,560
251,Robert Morris,32,10,22,0.313,-9.56,-4.29,6,14,7,9,3,13,2326,2425,1300,833,1927,0.432,273,812,0.336,387,540,0.717,391,1159,431,157,92,443,564
252,Rutgers,32,15,17,0.469,7.46,8.61,7,13,12,5,3,9,2092,2129,1285,750,1927,0.389,175,610,0.287,417,634,0.658,392,1188,377,247,167,365,541
253,Sacramento State,34,10,24,0.294,-10.86,-3.7,4,14,6,8,2,13,2282,2394,1360,798,1855,0.43,258,780,0.331,428,598,0.716,399,1209,444,178,93,495,577
254,Sacred Heart,32,16,16,0.5,-9.92,-9.46,10,6,11,5,4,11,2372,2313,1280,864,1898,0.455,237,650,0.365,407,586,0.695,300,1079,440,279,161,373,540
255,Saint Francis (PA),30,8,22,0.267,-18.6,-8.14,3,13,6,8,2,14,1955,2181,1205,713,1682,0.424,193,576,0.335,336,551,0.61,357,1038,367,178,107,412,532
256,Saint Joseph's,35,21,14,0.6,6.59,1.68,9,9,14,3,3,10,2641,2469,1410,928,2084,0.445,351,996,0.352,434,598,0.726,353,1253,513,247,133,401,534
257,Saint Louis,33,13,20,0.394,-1.56,4.16,5,13,8,8,3,9,2473,2620,1320,845,1873,0.451,259,705,0.367,524,699,0.75,287,1107,426,200,101,388,596
258,Saint Mary's (CA) NCAA,34,26,8,0.765,16.32,3.48,15,1,14,4,9,0,2516,2013,1370,936,2007,0.466,258,733,0.352,386,571,0.676,448,1345,550,223,130,347,556
259,Saint Peter's NCAA,33,19,14,0.576,-4.58,-5.33,12,8,8,5,8,8,2140,2113,1325,720,1830,0.393,192,590,0.325,508,713,0.712,411,1161,350,235,137,414,640
260,Sam Houston,33,21,12,0.636,-0.35,-1.7,13,3,12,2,7,9,2381,2282,1330,828,1948,0.425,245,697,0.352,480,663,0.724,393,1255,425,226,75,435,596
261,Samford NCAA,35,29,6,0.829,6.35,-3.19,15,3,18,0,8,5,3012,2607,1400,1054,2152,0.49,351,889,0.395,553,765,0.723,371,1252,619,347,131,455,667
262,San Diego,33,18,15,0.545,-5.3,0.35,7,9,12,6,4,7,2392,2550,1320,849,1978,0.429,233,677,0.344,461,633,0.728,331,1128,432,239,126,437,628
263,San Diego State NCAA,37,26,11,0.703,14.68,8.36,11,7,14,1,6,8,2742,2467,1505,954,2167,0.44,259,822,0.315,575,784,0.733,432,1398,481,275,149,413,647
264,San Francisco,34,23,11,0.676,9.69,0.24,11,5,14,2,6,6,2643,2262,1370,995,2044,0.487,293,825,0.355,360,477,0.755,320,1159,554,279,117,392,622
265,San Jose State,32,9,23,0.281,-3.81,3.29,2,16,6,9,1,12,2228,2403,1290,832,1856,0.448,267,778,0.343,297,423,0.702,252,986,433,165,106,336,547
266,Santa Clara,33,20,13,0.606,5.4,1.74,10,6,11,4,5,6,2538,2384,1325,912,1984,0.46,271,766,0.354,443,620,0.715,397,1296,497,158,89,422,584
267,Seattle,37,23,14,0.622,4.04,-1.62,11,9,14,4,4,9,2730,2471,1510,956,2143,0.446,281,811,0.346,537,730,0.736,373,1369,481,215,106,470,683
268,Seton Hall,36,24,12,0.667,12.52,8.6,13,7,17,3,5,7,2651,2510,1460,959,2122,0.452,223,664,0.336,510,655,0.779,438,1348,469,272,173,458,545
269,Siena,32,4,28,0.125,-19.2,-5.2,3,17,2,12,2,13,1934,2382,1280,702,1758,0.399,169,603,0.28,361,541,0.667,375,1132,342,164,130,505,491
270,South Alabama,32,16,16,0.5,-5.89,-3.34,8,10,11,6,5,9,2367,2421,1300,835,1886,0.443,239,692,0.345,458,611,0.75,254,1057,341,216,88,362,532
271,South Carolina NCAA,34,26,8,0.765,11.02,6.52,13,5,14,3,8,3,2450,2297,1370,865,1970,0.439,274,809,0.339,446,627,0.711,387,1210,524,162,108,344,550
272,South Carolina State,32,14,18,0.438,-11.83,-6.16,9,5,9,4,5,13,2245,2390,1290,784,1914,0.41,200,620,0.323,477,692,0.689,477,1203,435,267,111,487,666
273,South Carolina Upstate,30,10,20,0.333,-9.33,-3,5,11,6,7,4,12,2130,2188,1215,780,1753,0.445,230,691,0.333,340,530,0.642,262,950,375,217,96,346,589
274,South Dakota,32,12,20,0.375,-12.54,-5.4,5,11,9,6,2,12,2434,2535,1300,875,1916,0.457,251,669,0.375,433,583,0.743,334,1198,391,115,56,411,511
275,South Dakota State NCAA,35,22,13,0.629,0.53,-2.69,12,4,11,3,6,5,2675,2490,1410,977,2029,0.482,300,823,0.365,421,593,0.71,289,1240,450,213,112,395,501
276,South Florida,33,25,8,0.758,7.38,0.99,16,2,15,3,8,4,2499,2288,1320,837,1900,0.441,295,804,0.367,530,719,0.737,328,1189,491,229,112,356,568
277,Southeast Missouri State,31,9,22,0.29,-18.23,-6.52,4,14,8,7,1,14,2078,2278,1245,764,1848,0.413,192,631,0.304,358,512,0.699,279,984,383,178,78,371,606
278,Southeastern Louisiana,32,15,17,0.469,-11.29,-6.11,10,8,9,4,6,10,2209,2271,1290,764,1769,0.432,235,677,0.347,446,613,0.728,343,1120,463,222,73,442,523
279,Southern,32,18,14,0.563,-8.73,-6.07,12,6,11,2,7,11,2275,2198,1290,807,1829,0.441,221,684,0.323,440,653,0.674,312,1020,440,291,105,456,631
280,Southern California,33,15,18,0.455,9.37,9.55,8,12,9,6,3,9,2446,2452,1340,872,1932,0.451,252,709,0.355,450,649,0.693,331,1123,515,247,172,418,560
281,Southern Illinois,32,19,13,0.594,4.13,0.55,11,9,13,5,5,6,2325,2183,1300,791,1746,0.453,264,761,0.347,479,629,0.762,270,1055,456,175,98,356,579
282,SIU Edwardsville,33,17,16,0.515,-9.05,-7.52,9,9,12,2,2,13,2360,2314,1320,832,1965,0.423,239,720,0.332,457,631,0.724,375,1175,374,226,137,352,550
283,Southern Indiana,32,8,24,0.25,-13.6,-5.56,5,13,5,10,3,13,2195,2335,1285,737,1811,0.407,215,664,0.324,506,679,0.745,319,1139,362,204,94,423,672
284,Southern Methodist,33,20,13,0.606,10.24,2.58,11,7,14,3,5,8,2535,2271,1325,934,2089,0.447,251,735,0.341,416,606,0.686,480,1314,517,277,159,372,564
285,Southern Mississippi,32,16,16,0.5,-5.91,-2.91,9,9,11,3,5,9,2236,2273,1280,775,1826,0.424,201,614,0.327,485,693,0.7,343,1177,376,229,154,411,550
286,Southern Utah,31,10,21,0.323,-5.71,-1.15,5,15,6,8,3,13,2326,2406,1245,820,1861,0.441,195,649,0.3,491,674,0.728,322,1049,375,202,92,373,548
287,St. Bonaventure,33,20,13,0.606,6.78,1.96,9,9,11,4,5,6,2424,2265,1335,853,1872,0.456,251,687,0.365,467,603,0.774,320,1087,412,218,128,358,553
288,St. John's (NY),33,20,13,0.606,16.38,9.47,11,9,13,5,5,6,2602,2374,1320,970,2139,0.453,237,696,0.341,425,584,0.728,476,1279,518,232,180,360,593
289,St. Thomas,33,20,13,0.606,-0.91,-5.71,9,7,12,2,6,9,2402,2140,1325,859,1824,0.471,299,829,0.361,385,528,0.729,255,1027,451,204,71,303,520
290,Stanford,32,14,18,0.438,7.37,7.5,8,12,10,6,3,8,2443,2447,1300,882,1886,0.468,286,774,0.37,393,540,0.728,248,1097,515,176,99,410,490
291,Stephen F. Austin,33,18,15,0.545,-0.93,-1.74,10,10,10,5,5,8,2463,2353,1345,849,1890,0.449,203,607,0.334,562,796,0.706,393,1184,422,295,93,530,697
292,Stetson NCAA,35,22,13,0.629,-5.09,-3.24,11,5,14,2,6,10,2687,2566,1405,950,2053,0.463,313,857,0.365,474,619,0.766,339,1216,465,187,108,369,516
293,Stonehill,31,4,27,0.129,-20.12,-6.12,2,14,4,8,0,19,1967,2360,1245,714,1788,0.399,253,834,0.303,286,415,0.689,257,1020,366,198,77,421,477
294,Stony Brook,35,20,15,0.571,-2.58,-2.61,10,8,13,3,4,11,2573,2531,1430,921,2101,0.438,277,775,0.357,454,614,0.739,336,1280,424,211,113,359,532
295,Syracuse,32,20,12,0.625,8.54,9.41,11,9,14,2,4,7,2442,2420,1280,883,1915,0.461,219,651,0.336,457,634,0.721,277,1064,442,290,129,364,493
296,Tarleton State,35,25,10,0.714,1.43,-0.95,16,4,13,4,10,5,2593,2402,1405,951,2091,0.455,203,623,0.326,488,645,0.757,379,1192,482,308,124,395,605
297,TCU NCAA,34,21,13,0.618,14.62,7.33,9,9,12,4,6,5,2687,2439,1380,964,2089,0.461,224,632,0.354,535,732,0.731,433,1263,575,305,128,438,593
298,Temple,36,16,20,0.444,-1.24,1.7,5,13,5,9,5,7,2551,2624,1470,876,2214,0.396,296,931,0.318,503,709,0.709,406,1304,402,265,105,357,610
299,Tennessee NCAA,36,27,9,0.75,21.87,10.48,14,4,14,2,8,3,2836,2426,1440,979,2223,0.44,315,915,0.344,563,750,0.751,419,1393,600,280,166,367,629
300,Tennessee State,33,18,15,0.545,-9.61,-7.61,10,8,11,3,5,10,2400,2343,1325,832,1881,0.442,217,667,0.325,519,687,0.755,327,1144,396,220,116,436,644
301,Tennessee Tech,31,10,21,0.323,-15.01,-6.26,5,13,7,8,3,13,2089,2289,1250,758,1692,0.448,202,608,0.332,371,522,0.711,191,957,379,156,90,369,421
302,Tennessee-Martin,32,21,11,0.656,-5.54,-7.21,14,4,12,2,9,7,2609,2455,1290,908,2045,0.444,279,779,0.358,514,667,0.771,325,1319,415,199,89,366,455
303,Texas NCAA,34,21,13,0.618,15.9,9.4,9,9,14,4,4,6,2563,2342,1365,932,1988,0.469,245,691,0.355,454,600,0.757,339,1179,512,244,149,393,587
304,Texas A&M NCAA,36,21,15,0.583,13.38,9.36,9,9,10,5,6,6,2736,2591,1450,926,2304,0.402,255,869,0.293,629,890,0.707,627,1541,412,250,108,346,611
305,Texas A&M-Commerce,33,13,20,0.394,-14.5,-5.17,6,12,8,7,4,12,2361,2462,1365,829,1996,0.415,288,922,0.312,415,592,0.701,316,1075,457,262,164,385,582
306,Texas A&M-Corpus Christi,33,21,12,0.636,-4.43,-7.22,14,4,13,2,8,7,2480,2200,1335,889,2046,0.435,183,616,0.297,519,738,0.703,438,1328,485,291,96,400,689
307,Texas Southern,33,16,17,0.485,-9.07,-7.01,12,6,7,4,6,11,2316,2346,1325,821,1980,0.415,242,766,0.316,432,597,0.724,365,1165,384,228,124,415,610
308,Texas State,35,17,18,0.486,-3.69,-0.72,7,11,9,4,5,11,2445,2452,1410,883,1988,0.444,159,488,0.326,520,747,0.696,388,1243,413,258,118,470,617
309,Texas Tech NCAA,34,23,11,0.676,14.96,9.29,11,7,15,2,4,6,2561,2368,1365,877,1943,0.451,289,804,0.359,518,664,0.78,338,1188,501,204,86,378,508
310,Texas-Rio Grande Valley,31,6,25,0.194,-13.37,-0.89,2,18,5,9,1,14,2181,2473,1250,754,1801,0.419,160,547,0.293,513,728,0.705,290,1037,400,251,92,434,563
311,The Citadel,32,11,21,0.344,-6.51,-2.89,3,15,7,7,2,13,2260,2289,1285,819,1782,0.46,197,600,0.328,425,602,0.706,300,1094,359,179,84,385,447
312,Toledo,32,20,12,0.625,1.8,-2.07,14,4,12,3,8,5,2560,2436,1290,920,1926,0.478,207,550,0.376,513,680,0.754,318,1081,430,233,64,342,498
313,Towson,34,20,14,0.588,0.2,-2.26,11,7,12,2,6,6,2296,2164,1375,818,1934,0.423,216,659,0.328,444,672,0.661,491,1337,381,210,142,413,565
314,Troy,32,20,12,0.625,1.27,-3.15,13,5,15,2,5,9,2546,2261,1300,859,1950,0.441,276,787,0.351,552,753,0.733,427,1230,438,331,105,441,611
315,Tulane,31,14,17,0.452,3.67,2.7,5,13,11,6,2,8,2540,2481,1260,856,1798,0.476,233,653,0.357,595,813,0.732,217,1030,440,243,136,347,530
316,Tulsa,31,16,15,0.516,-1.19,-0.99,7,11,14,4,2,9,2325,2290,1255,779,1775,0.439,239,731,0.327,528,717,0.736,270,1091,392,243,105,403,543
317,UAB NCAA,35,23,12,0.657,5.16,3.75,12,6,12,5,7,5,2711,2627,1420,937,2085,0.449,215,658,0.327,622,834,0.746,451,1329,473,236,159,406,555
318,UC Davis,33,20,13,0.606,-1.32,-2.84,14,6,10,6,8,6,2351,2246,1330,799,1808,0.442,230,684,0.336,523,699,0.748,327,1102,411,257,116,444,633
319,UC Irvine,34,24,10,0.706,6.9,-0.92,17,3,13,0,8,9,2639,2321,1370,967,2035,0.475,197,565,0.349,508,675,0.753,360,1287,529,219,113,393,624
320,UC Riverside,34,16,18,0.471,-4.25,-1.21,10,10,10,5,4,12,2404,2448,1366,842,2122,0.397,287,904,0.317,433,604,0.717,420,1256,446,191,48,326,586
321,UC San Diego,33,21,12,0.636,2.05,-2.79,15,5,14,2,7,8,2530,2290,1335,884,1933,0.457,293,818,0.358,469,624,0.752,317,1147,429,205,91,320,532
322,UC Santa Barbara,31,16,15,0.516,-3.17,-3,9,11,9,7,6,7,2337,2280,1250,826,1684,0.49,187,519,0.36,498,677,0.736,252,1081,417,152,99,405,511
323,UCF,33,17,16,0.515,11.94,8.18,7,11,11,8,3,7,2366,2242,1325,817,1945,0.42,225,698,0.322,507,723,0.701,408,1243,375,287,165,413,601
324,UCLA,33,16,17,0.485,7.51,7.85,10,10,9,7,5,6,2177,2160,1320,762,1820,0.419,183,552,0.332,470,644,0.73,339,1115,368,192,109,358,609
325,UNC Asheville,34,22,12,0.647,-1.9,-2.96,12,4,12,2,5,7,2682,2485,1375,906,1950,0.465,277,759,0.365,593,799,0.742,319,1182,534,203,146,403,581
326,UNC Greensboro,32,21,11,0.656,-0.24,-2.88,12,6,11,3,7,7,2422,2233,1290,865,1878,0.461,322,812,0.397,370,507,0.73,319,1133,473,223,81,349,549
327,UNC Wilmington,31,21,10,0.677,1.23,-2.88,12,6,10,2,10,6,2461,2202,1260,863,1871,0.461,258,741,0.348,477,628,0.76,330,1066,379,202,75,266,527
328,UT Arlington,34,20,14,0.588,2.4,0.71,13,7,12,3,5,10,2614,2492,1365,880,1981,0.444,305,861,0.354,549,747,0.735,404,1275,536,241,130,526,706
329,Utah,37,22,15,0.595,15.02,9.42,9,11,17,2,2,9,2915,2708,1495,1082,2309,0.469,345,933,0.37,406,625,0.65,370,1438,654,217,154,426,587
330,Utah State NCAA,35,28,7,0.8,11.58,5.31,14,4,14,1,8,4,2788,2497,1420,999,2036,0.491,226,678,0.333,564,783,0.72,332,1254,572,238,148,385,594
331,Utah Tech,31,11,20,0.355,-8.06,-1.16,7,13,6,7,5,13,2194,2389,1250,771,1724,0.447,201,596,0.337,451,699,0.645,307,1070,401,205,133,495,647
332,Utah Valley,32,16,16,0.5,-1.31,-0.01,11,9,10,4,5,10,2199,2195,1290,801,1851,0.433,154,540,0.285,443,655,0.676,335,1179,477,222,143,395,578
333,UTEP,34,18,16,0.529,-1.47,-1.28,7,9,13,5,2,9,2470,2348,1370,859,1922,0.447,194,609,0.319,558,809,0.69,361,1124,439,389,97,500,677
334,UTSA,32,11,21,0.344,-5.24,-0.69,5,13,7,9,4,11,2483,2591,1300,837,2040,0.41,311,922,0.337,498,701,0.71,419,1289,444,161,133,360,573
335,Valparaiso,32,7,25,0.219,-8.22,1.2,3,17,6,11,1,13,2163,2416,1280,796,1961,0.406,234,721,0.325,337,471,0.715,320,1064,384,197,113,353,521
336,Vanderbilt,32,9,23,0.281,0.23,8.2,4,14,8,10,1,9,2173,2428,1285,748,1877,0.399,209,738,0.283,468,660,0.709,344,1102,300,196,92,333,489
337,Vermont NCAA,35,28,7,0.8,2.79,-3.31,15,1,16,1,10,4,2506,2205,1405,900,1980,0.455,300,878,0.342,406,567,0.716,268,1212,478,206,136,322,488
338,Villanova,34,18,16,0.529,14.35,9.73,10,10,10,6,4,8,2388,2231,1390,826,1945,0.425,315,933,0.338,421,521,0.808,288,1184,437,197,81,327,520
339,Virginia NCAA,34,23,11,0.676,10.48,7.33,13,7,15,2,5,6,2140,2033,1375,808,1887,0.428,220,615,0.358,304,477,0.637,298,1107,509,239,169,274,460
340,Virginia Commonwealth,38,24,14,0.632,8.71,4.42,11,7,13,6,7,5,2697,2534,1530,906,2059,0.44,322,911,0.353,563,721,0.781,343,1336,515,246,167,462,625
341,VMI,32,4,28,0.125,-20.63,-2.42,1,17,4,10,0,15,2204,2644,1285,818,1935,0.423,210,673,0.312,358,517,0.692,299,1170,335,179,82,507,539
342,Virginia Tech,34,19,15,0.559,11.93,7.99,10,10,15,2,2,10,2547,2413,1360,886,1905,0.465,276,792,0.348,499,629,0.793,263,1101,514,180,83,376,540
343,Wagner NCAA,33,17,16,0.515,-10.65,-8.59,7,9,7,5,9,10,2103,2083,1335,758,1913,0.396,238,727,0.327,349,496,0.704,369,1183,421,195,76,326,507
344,Wake Forest,35,21,14,0.6,14.97,7.54,11,9,17,2,2,9,2733,2473,1410,968,2042,0.474,278,764,0.364,519,653,0.795,296,1197,429,207,145,375,542
345,Washington,32,17,15,0.531,11.87,8.4,9,11,11,6,5,6,2579,2468,1305,931,1980,0.47,258,728,0.354,459,636,0.722,301,1151,482,184,118,374,585
346,Washington State NCAA,35,25,10,0.714,14.03,7.2,14,6,15,2,6,4,2574,2335,1410,948,2046,0.463,223,658,0.339,455,646,0.704,391,1317,435,181,172,383,582
347,Weber State,32,20,12,0.625,-0.48,-4.13,11,7,12,2,7,7,2414,2161,1290,843,1797,0.469,251,721,0.348,477,637,0.749,248,1025,390,221,53,316,495
348,West Virginia,32,9,23,0.281,3.73,10.77,4,14,9,9,0,9,2234,2459,1290,767,1784,0.43,233,667,0.349,467,662,0.705,293,1080,417,139,114,405,487
349,Western Carolina,32,22,10,0.688,1.98,-3.33,11,7,12,3,10,6,2459,2198,1295,902,1963,0.46,261,713,0.366,394,553,0.712,335,1269,367,141,103,330,536
350,Western Illinois,33,21,12,0.636,-8.72,-7.34,13,5,10,5,10,6,2272,2167,1330,826,1936,0.427,195,611,0.319,425,691,0.615,482,1397,421,173,185,436,470
351,Western Kentucky NCAA,34,22,12,0.647,1.2,-2.89,8,8,12,2,6,7,2728,2531,1361,996,2138,0.466,233,686,0.34,503,699,0.72,361,1358,454,260,110,470,625
352,Western Michigan,32,12,20,0.375,-9.28,-3.77,9,9,7,7,3,12,2281,2396,1295,828,1912,0.433,253,747,0.339,372,595,0.625,402,1212,418,169,87,428,550
353,Wichita State,34,15,19,0.441,2.04,3.22,5,13,10,5,2,10,2475,2484,1370,935,2091,0.447,220,660,0.333,385,552,0.697,396,1339,413,213,142,419,522
354,William & Mary,33,10,23,0.303,-11.32,-5.54,4,14,7,7,2,13,2305,2380,1325,787,1910,0.412,296,916,0.323,435,620,0.702,341,1161,407,156,56,357,560
355,Winthrop,32,17,15,0.531,-1.95,-3.4,8,8,11,5,6,9,2475,2287,1310,818,1763,0.464,238,697,0.341,601,856,0.702,341,1134,380,201,89,415,570
356,Wisconsin NCAA,36,22,14,0.611,16.07,11.41,11,9,14,3,3,9,2688,2520,1455,952,2067,0.461,256,734,0.349,528,699,0.755,362,1224,458,224,59,358,594
357,Wofford,32,17,15,0.531,-3.85,-1.57,10,8,11,2,6,9,2384,2362,1300,874,1905,0.459,306,852,0.359,330,532,0.62,337,1190,494,142,86,373,522
358,Wright State,32,18,14,0.563,-0.21,-3.61,13,7,9,7,7,6,2767,2599,1295,1033,1948,0.53,218,569,0.383,483,638,0.757,290,1111,529,200,90,379,499
359,Wyoming,32,15,17,0.469,0.55,4.58,8,10,9,5,3,10,2331,2383,1290,791,1755,0.451,241,648,0.372,508,686,0.741,307,1103,374,165,80,408,500
360,Xavier,34,16,18,0.471,12.14,10.93,9,11,11,7,3,9,2579,2538,1360,923,2116,0.436,232,678,0.342,501,672,0.746,401,1297,551,236,115,396,572
361,Yale NCAA,33,23,10,0.697,4.64,0.42,11,3,9,2,9,6,2465,2226,1340,919,1969,0.467,241,687,0.351,386,546,0.707,326,1205,495,204,105,316,499
362,Youngstown State,32,22,10,0.688,0.98,-5.09,14,6,14,3,8,7,2598,2269,1290,931,2064,0.451,282,872,0.323,454,589,0.771,409,1279,490,198,156,353,52